X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
-0.26793	1.46817	-0.458883	0.57111	0	0	-0.26793	-0.458883
-0.270297	1.46512	-0.459794	0.620806	0	0	-0.270297	-0.459794
-0.271712	1.46213	-0.461902	0.670836	0	0	-0.271712	-0.461902
-0.27385	1.45863	-0.465561	0.721368	0	0	-0.27385	-0.465561
-0.275832	1.4553	-0.469227	0.771323	0	0	-0.275832	-0.469227
-0.277817	1.4522	-0.472434	0.821196	0	0	-0.277817	-0.472434
-0.279993	1.44983	-0.475783	0.870982	0	0	-0.279993	-0.475783
-0.280711	1.44867	-0.47905	0.92148	0	0	-0.280711	-0.47905
-0.280766	1.44774	-0.481413	0.971602	0	0	-0.280766	-0.481413
-0.279908	1.44692	-0.481949	1.02172	0	0	-0.279908	-0.481949
-0.278822	1.44656	-0.482332	1.07091	0	0	-0.278822	-0.482332
-0.277928	1.44696	-0.482163	1.12092	0	0	-0.277928	-0.482163
-0.277094	1.44851	-0.481824	1.16976	0	0	-0.277094	-0.481824
-0.276476	1.4509	-0.481177	1.2199	0	0	-0.276476	-0.481177
-0.276675	1.45304	-0.479691	1.27005	0	0	-0.276675	-0.479691
-0.276936	1.45659	-0.477016	1.32066	0	0	-0.276936	-0.477016
-0.276329	1.46274	-0.474325	1.37078	0	0	-0.276329	-0.474325
-0.273489	1.4669	-0.471196	1.42089	0	0	-0.273489	-0.471196
-0.268937	1.46739	-0.466807	1.47142	0	0	-0.268937	-0.466807
-0.264769	1.46379	-0.465242	1.52123	0	0	-0.264769	-0.465242
-0.260367	1.45135	-0.469961	1.63047	0	0	-0.260367	-0.469961
-0.260367	1.45135	-0.469961	1.63102	0	0	-0.260367	-0.469961
-0.260933	1.44682	-0.472438	1.68109	0	0	-0.260933	-0.472438
-0.261846	1.44362	-0.474488	1.73076	0	0	-0.261846	-0.474488
-0.262578	1.44152	-0.476354	1.78081	0	0	-0.262578	-0.476354
-0.263233	1.44023	-0.478334	1.83053	0	0	-0.263233	-0.478334
